wind velocity,6,8,10,12,14,16,20
beat angles,43.4,41.8,38.9,37.5,36.8,36.3,36.9
beat sog,5.863127591,6.975409003,7.388436391,7.676277001,7.892784309,7.916337149,7.940630013
52,6.57,7.78,8.34,8.64,8.84,8.95,8.91
60,7.01,8.13,8.66,8.95,9.15,9.28,9.34
75,7.36,8.38,9.01,9.39,9.62,9.8,10.01
90,7.31,8.31,8.95,9.5,9.98,10.28,10.67
110,6.73,8.04,8.87,9.54,10.08,10.44,11.17
120,6.39,7.79,8.64,9.3,9.95,10.72,11.81
135,5.58,7,8.02,8.71,9.29,9.88,11.47
150,4.62,5.85,6.97,7.86,8.57,9.13,10.26
run sog,5.221629157,6.382057768,7.091474694,7.59564531,7.968821351,8.387799204,9.384619237
gybe angles,140,142.6,148.4,154.4,162.5,169.6,172.3
